Neighborhood,Crime,Number of Cases,Date
North Loop,Auto Theft,2.0,2018-01-01
North Loop,Burglary,1.0,2018-01-01
North Loop,Homicide,0.0,2018-01-01
North Loop,Larceny,25.0,2018-01-01
North Loop,Rape,0.0,2018-01-01
North Loop,Robbery,1.0,2018-01-01
Northeast Park,Aggravated Assault,0.0,2018-01-01
Northeast Park,Arson,0.0,2018-01-01
Northeast Park,Auto Theft,2.0,2018-01-01
Northeast Park,Burglary,2.0,2018-01-01
Northeast Park,Homicide,0.0,2018-01-01
Northeast Park,Larceny,7.0,2018-01-01
Northeast Park,Rape,0.0,2018-01-01
Northeast Park,Robbery,1.0,2018-01-01
Northrop,Aggravated Assault,0.0,2018-01-01
Northrop,Arson,0.0,2018-01-01
Northrop,Auto Theft,1.0,2018-01-01
Northrop,Burglary,2.0,2018-01-01
Northrop,Homicide,0.0,2018-01-01
Northrop,Larceny,6.0,2018-01-01
Northrop,Rape,0.0,2018-01-01
Northrop,Robbery,2.0,2018-01-01
Page,Aggravated Assault,0.0,2018-01-01
Page,Arson,0.0,2018-01-01
Page,Auto Theft,0.0,2018-01-01
Page,Burglary,1.0,2018-01-01
Page,Homicide,0.0,2018-01-01
Page,Larceny,0.0,2018-01-01
Page,Rape,1.0,2018-01-01
Page,Robbery,0.0,2018-01-01
Phillips West,Aggravated Assault,2.0,2018-01-01
Phillips West,Arson,1.0,2018-01-01
Phillips West,Auto Theft,5.0,2018-01-01
Phillips West,Burglary,1.0,2018-01-01
Phillips West,Homicide,0.0,2018-01-01
Phillips West,Larceny,10.0,2018-01-01
Phillips West,Rape,0.0,2018-01-01
Phillips West,Robbery,1.0,2018-01-01
Powderhorn Park,Aggravated Assault,0.0,2018-01-01
Powderhorn Park,Arson,0.0,2018-01-01
Powderhorn Park,Auto Theft,6.0,2018-01-01
Powderhorn Park,Burglary,9.0,2018-01-01
Powderhorn Park,Homicide,0.0,2018-01-01
Powderhorn Park,Larceny,9.0,2018-01-01
Powderhorn Park,Rape,0.0,2018-01-01
Powderhorn Park,Robbery,5.0,2018-01-01
Prospect Park - East River Road,Aggravated Assault,0.0,2018-01-01
Prospect Park - East River Road,Arson,0.0,2018-01-01
Prospect Park - East River Road,Auto Theft,4.0,2018-01-01
Prospect Park - East River Road,Burglary,9.0,2018-01-01
Prospect Park - East River Road,Homicide,0.0,2018-01-01
Prospect Park - East River Road,Larceny,10.0,2018-01-01
Prospect Park - East River Road,Rape,1.0,2018-01-01
Prospect Park - East River Road,Robbery,1.0,2018-01-01
Regina,Aggravated Assault,0.0,2018-01-01
Regina,Arson,0.0,2018-01-01
Regina,Auto Theft,1.0,2018-01-01
Regina,Burglary,0.0,2018-01-01
Regina,Homicide,0.0,2018-01-01
Regina,Larceny,1.0,2018-01-01
Regina,Rape,0.0,2018-01-01
Regina,Robbery,0.0,2018-01-01
Seward,Aggravated Assault,6.0,2018-01-01
Seward,Arson,0.0,2018-01-01
Seward,Auto Theft,9.0,2018-01-01
Seward,Burglary,5.0,2018-01-01
Seward,Homicide,0.0,2018-01-01
Seward,Larceny,14.0,2018-01-01
Seward,Rape,0.0,2018-01-01
Seward,Robbery,2.0,2018-01-01
Sheridan,Aggravated Assault,1.0,2018-01-01
Sheridan,Arson,0.0,2018-01-01
Sheridan,Auto Theft,3.0,2018-01-01
Sheridan,Burglary,1.0,2018-01-01
Sheridan,Homicide,0.0,2018-01-01
Sheridan,Larceny,3.0,2018-01-01
Sheridan,Rape,0.0,2018-01-01
Sheridan,Robbery,1.0,2018-01-01
Shingle Creek,Aggravated Assault,3.0,2018-01-01
Shingle Creek,Arson,0.0,2018-01-01
Shingle Creek,Auto Theft,6.0,2018-01-01
Shingle Creek,Burglary,1.0,2018-01-01
Shingle Creek,Homicide,0.0,2018-01-01
Shingle Creek,Larceny,6.0,2018-01-01
Shingle Creek,Rape,0.0,2018-01-01
Shingle Creek,Robbery,0.0,2018-01-01
St. Anthony East,Aggravated Assault,2.0,2018-01-01
St. Anthony East,Arson,0.0,2018-01-01
St. Anthony East,Auto Theft,1.0,2018-01-01
St. Anthony East,Burglary,1.0,2018-01-01
St. Anthony East,Homicide,0.0,2018-01-01
St. Anthony East,Larceny,3.0,2018-01-01
St. Anthony East,Rape,0.0,2018-01-01
St. Anthony East,Robbery,1.0,2018-01-01
St. Anthony West,Aggravated Assault,0.0,2018-01-01
St. Anthony West,Arson,0.0,2018-01-01
St. Anthony West,Auto Theft,2.0,2018-01-01
St. Anthony West,Burglary,1.0,2018-01-01
St. Anthony West,Homicide,0.0,2018-01-01
St. Anthony West,Larceny,4.0,2018-01-01
St. Anthony West,Rape,0.0,2018-01-01
St. Anthony West,Robbery,1.0,2018-01-01
Standish,Aggravated Assault,0.0,2018-01-01
Standish,Arson,0.0,2018-01-01
Standish,Auto Theft,5.0,2018-01-01
Standish,Burglary,1.0,2018-01-01
Standish,Homicide,0.0,2018-01-01
Standish,Larceny,8.0,2018-01-01
Standish,Rape,1.0,2018-01-01
Standish,Robbery,2.0,2018-01-01
Steven's Square - Loring Heights,Aggravated Assault,1.0,2018-01-01
Steven's Square - Loring Heights,Arson,0.0,2018-01-01
Steven's Square - Loring Heights,Auto Theft,2.0,2018-01-01
Steven's Square - Loring Heights,Burglary,2.0,2018-01-01
Steven's Square - Loring Heights,Homicide,0.0,2018-01-01
Steven's Square - Loring Heights,Larceny,8.0,2018-01-01
Steven's Square - Loring Heights,Rape,0.0,2018-01-01
Steven's Square - Loring Heights,Robbery,2.0,2018-01-01
Sumner - Glenwood,Aggravated Assault,2.0,2018-01-01
Sumner - Glenwood,Arson,0.0,2018-01-01
Sumner - Glenwood,Auto Theft,0.0,2018-01-01
